reviewID,reviewText,label,reviews
1,"Great product, love it!!",0,"Great product, love it!!"
2,"The King, the Mice and the Cheese by Nancy Gurney is an excellent children's book.  It is one that I well remember from my own childhood and purchased for my daughter who loves it. It is about a king who has trouble with rude mice eating his cheese. He consults his wise men and they suggest cats to chase away the mice. The cats become a nuisance, so the wise men recommend the king bring in dogs to chase the cats away.  The cycle goes on until the mice are finally brought back to chase away the elephants, brought in to chase away the lions that'd chased away the dogs. The story ends in compromise and friendship between the mice and the king.  The story also teaches cause and effect relationships. The pictures that accompany the story are humorous and memorable.  I was thrilled to discover that it is back in print.  I *highly* recommend it for children ages 2 to 7.",0,"The King, the Mice and the Cheese by Nancy Gurney is an excellent children's book.  It is one that I well remember from my own childhood and purchased for my daughter who loves it. It is about a king who has trouble with rude mice eating his cheese. He consults his wise men and they suggest cats to chase away the mice. The cats become a nuisance, so the wise men recommend the king bring in dogs to chase the cats away.  The cycle goes on until the mice are finally brought back to chase away the elephants, brought in to chase away the lions that'd chased away the dogs. The story ends in compromise and friendship between the mice and the king.  The story also teaches cause and effect relationships. The pictures that accompany the story are humorous and memorable.  I was thrilled to discover that it is back in print.  I *highly* recommend it for children ages 2 to 7."
3,"This game is a bit hard to get the hang of, but when you do it's great.",0,"This game is a bit hard to get the hang of, but when you do it's great."
4,"Pretty flimsy, but does the job. If your corner is not square and flat, the shelves will probably not end up level. These shelves should probably be going for half the price.",1,"Pretty flimsy, but does the job. If your corner is not square and flat, the shelves will probably not end up level. These shelves should probably be going for half the price."
5,The kids loved it!,0,The kids loved it!
6,So much better than plastic mug types--keeps coffee warm and doesn't stain. We bought it because Cook's Country rated it tops.,0,So much better than plastic mug types--keeps coffee warm and doesn't stain. We bought it because Cook's Country rated it tops.
7,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.,0,My students (3 & 4 year olds) loved this book!  Definitely recommend it to other teachers.
8,ok game.,0,ok game.
9,"I like my coffee hot; borderline scorching but drinkable.  About 10 years ago I purchased several Avantro coffee mugs that are very similar to these.  Those have been able to keep my coffee at my preferred drinking temperature for well over 4 hours even on the coldest of days.  I work outside so hot coffee is crucial in these nasty New England winters. Well, day one with this new mug and I am quite disappointed.  This mug barely kept my coffee warm for an hour.  That is quite unacceptable seeing as how this company is the one that bought out Avantro.",0,"I like my coffee hot; borderline scorching but drinkable.  About 10 years ago I purchased several Avantro coffee mugs that are very similar to these.  Those have been able to keep my coffee at my preferred drinking temperature for well over 4 hours even on the coldest of days.  I work outside so hot coffee is crucial in these nasty New England winters. Well, day one with this new mug and I am quite disappointed.  This mug barely kept my coffee warm for an hour.  That is quite unacceptable seeing as how this company is the one that bought out Avantro."
10,LOVE IT,0,LOVE IT
